Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,heme Metabolism,-0.2869476796110954,-1.7204348262353268,0.0,0.0036777583187390544,0.006764374295377677,51/186,13.37%,MAP2K3;CAT;USP15;ALDH6A1;AQP3;KDM7A;RCL1;KLF3;HEBP1;ARHGEF12;HBB;CCDC28A;DCAF11;LPIN2;NCOA4;MXI1;CA2;CPOX;C3;SLC30A1;ALAS2;CTSB;BMP2K;TENT5C;PICALM;FECH;FTCD;PC;NR3C1;NNT;SLC25A37;BACH1;KAT2B;ELL2;ALAD;BNIP3L;SLC66A2;FBXO34;HAGH;DCUN1D1;CAST;GCLC;TRIM58;MINPP1;ERMAP;SLC4A1;RIOK3;DCAF10;TAL1;FBXO7;ISCA1
prerank,Pperoxisome,-0.3498205188221492,-1.8085806216915508,0.0,0.0019356622730205548,0.0033821871476888386,42/101,17.63%,PEX13;CNBP;ACAA1;MLYCD;CAT;ACSL1;HMGCL;ALB;ABCD3;ISOC1;EPHX2;SCP2;ALDH9A1;LONP2;ACOX1;HAO2;EHHADH;CRAT;SLC27A2;TTR;VPS4B;RETSAT;PEX14;NR1I2;IDH2;CLN8;ECH1;SOD1;PEX11A;BCL10;IDH1;DHRS3;SIAH1;SERPINA6;CTPS1;SOD2;HSD17B11;HSD17B4;ACSL5;RDH11;ABCB4;SLC25A4
prerank,Allograft Rejection,-0.30234530794932957,-1.8706040230080292,0.0,0.0013621327106440942,0.002254791431792559,59/190,17.53%,CFP;CD4;IRF8;CCR1;IL1B;STAB1;ACVR2A;CD1D;IL4R;TLR3;MBL2;SRGN;CCL4;GPR65;IL10;KLRD1;BCL3;AKT1;CCL2;IL6;IL2RB;PRKCB;FCGR2B;F2;LCP2;NLRP3;FGR;ETS1;HCLS1;IL18RAP;INHBA;ABCE1;BCL10;TLR2;NCR1;EGFR;EIF5A;FAS;PTPRC;CD86;HDAC9;PRF1;TLR1;IL16;LY86;CSK;FYB1;SPI1;TNF;ICAM1;PF4;IGSF6;INHBB;JAK2;CD247;ITK;IL7;B2M;IRF4
prerank,IL-2/STAT5 Signaling,-0.35867757529462524,-2.0933087485272983,0.0,0.0,0.0,56/194,10.45%,ECM1;PTH1R;PHLDA1;SOCS2;IL1RL1;GADD45B;NFIL3;IRF8;RHOB;KLF6;PLIN2;SNX9;BHLHE40;PIM1;IL18R1;GPR83;PNP;FAH;TTC39B;CD81;MAFF;FGL2;CISH;IL4R;XBP1;FAM126B;ENPP1;BMPR2;ETFBKMT;GPR65;CA2;GABARAPL1;IL10;CD83;ENO3;PRNP;SELP;MYC;PLSCR1;RORA;IL2RB;PTGER2;SLC39A8;SH3BGRL2;TNFRSF1B;SPRED2;AHR;NFKBIZ;SMPDL3A;TIAM1;IL10RA;SLC2A3;SELL;CTSZ;NT5E;SNX14
prerank,Hypoxia,-0.3510788675705658,-2.125652250166484,0.0,0.0,0.0,79/194,18.11%,ZFP36;FOS;PNRC1;CCN1;PGM1;JUN;NFIL3;IGFBP3;SDC4;ATF3;KLF6;PLIN2;DUSP1;BHLHE40;SERPINE1;PIM1;NOCT;FBP1;MT2A;PLAC8;TIPARP;UGP2;GRHPR;CITED2;ERRFI1;DCN;PCK1;CP;MAFF;ADM;MT1E;SRPX;LDHA;PPP1R15A;HMOX1;MXI1;ALDOB;ENO3;IL6;RORA;BGN;NR3C1;SDC3;SLC37A4;IGFBP1;ETS1;BNIP3L;GBE1;SLC2A3;TMEM45A;PPARGC1A;AK4;CDKN1A;GLRX;EGFR;TPST2;BTG1;F3;KLHL24;GCNT2;CCN2;IRS2;STBD1;FOXO3;PPP1R3C;PFKFB3;TGM2;CASP6;CCN5;P4HA1;ANGPTL4;HDLBP;PLAUR;IDS;CDKN1B;EDN2;FAM162A;KLF7;PDK3
prerank,Oxidative Phosphorylation,-0.36420097630967574,-2.220423219881182,0.0,0.0,0.0,59/199,14.83%,ETFDH;MPC1;ACADSB;ACAA1;FXN;ACAA2;ACAT1;ALDH6A1;BDH2;ECHS1;ACADM;SDHD;SDHB;SLC25A20;PRDX3;NDUFS1;GRPEL1;GOT2;CASP7;ALAS1;LDHA;HADHB;MAOB;GLUD1;PMPCA;MFN2;CYB5A;ETFA;PHYH;UQCRC2;FDX1;HADHA;RETSAT;SUCLA2;NNT;ACADVL;IDH2;ECH1;PDK4;MRPL34;DECR1;PDHX;HSD17B10;MTRR;OPA1;DLST;IDH1;ABCB7;ATP5F1A;COX15;NDUFA5;MRPS22;POR;ISCA1;PHB2;SURF1;DLD;ATP5PF;CPT1A
prerank,Complement,-0.3773207692228366,-2.229768954857185,0.0,0.0,0.0,78/194,18.88%,ADRA2B;DUSP6;S100A12;C1R;USP15;SERPINE1;PIM1;C1S;KLKB1;PPP2CB;CALM1;F8;CTSL;SERPING1;PLG;DUSP5;CR1;CP;MAFF;CASP7;FYN;TFPI2;ZFPM2;CTSO;LAP3;C9;SERPINA1;CA2;C3;CTSB;CLU;FCN1;FDX1;PRCP;IL6;CDA;PLSCR1;IRF2;ITIH1;GATA3;C1QC;F2;LCP2;PREP;GNG2;LGMN;ANG;GNB4;PIK3CA;PIK3R5;LIPA;GNAI2;LRP1;C1QA;F7;L3MBTL4;DOCK10;F3;KYNU;PLEK;CEBPB;USP8;MSRB1;CASP4;IRF1;CFH;GNGT2;JAK2;CSRP1;CASP1;PLAUR;FN1;FCER1G;SH2B3;SERPINC1;GCA;CTSS;VCPIP1
prerank,UV Response Dn,-0.4074946407952205,-2.2639398232525614,0.0,0.0,0.0,49/144,14.69%,RND3;PLPP3;BCKDHB;LDLR;CCN1;PDLIM5;SYNE1;DLC1;DUSP1;BHLHE40;SERPINE1;ID1;CITED2;PRKAR2B;ACVR2A;FYN;MT1E;TGFBR3;PTEN;KALRN;NFKB1;FHL2;MYC;ADGRL2;YTHDC1;NR3C1;PEX14;DDAH1;MIOS;MGLL;PTPN21;MGMT;SMAD7;NR1D2;KCNMA1;DYRK1A;FBLN5;RASA2;MRPS31;F3;PRKCE;PRDM2;PIK3CD;TOGARAM1;GRK5;LTBP1;MAGI2;TGFBR2;SCAF8
prerank,TGF-beta Signaling,-0.47243534304624585,-2.2651985818977285,0.0,0.0,0.0,16/52,10.21%,ID2;JUNB;KLF10;SERPINE1;UBE2D3;ID1;THBS1;PPP1R15A;BMPR2;CDK9;SMAD6;PPM1A;SMAD1;SLC20A1;ENG;SMAD7
prerank,Interferon Alpha Response,-0.4344472032593608,-2.271914337256482,0.0,0.0,0.0,39/97,18.02%,TENT5A;C1S;LY6E;IL4R;RSAD2;LAP3;NCOA7;USP18;PLSCR1;IRF2;ELF1;PARP9;CMPK2;UBE2L6;OASL;SELL;TRIM14;HERC6;DHX58;SAMD9;OAS1;TXNIP;IFIT3;IFIT2;DDX60;IFIH1;IFITM1;EPSTI1;TMEM140;IFI44L;IFITM2;TRIM5;IFI44;IRF1;MX1;CASP1;IL7;B2M;SLC25A28
prerank,Androgen Response,-0.44704815513805435,-2.357271929826955,0.0,0.0,0.0,47/99,18.79%,LIFR;SLC38A2;PDLIM5;LMAN1;ADAMTS1;NKX3-1;B4GALT1;TMPRSS2;MAF;AZGP1;IQGAP2;ABHD2;NCOA4;STEAP4;SGK1;SORD;AKT1;SEC24D;MAP7;CDC14B;ZBTB10;SAT1;UAP1;PTPN21;ELL2;PTK2B;SELENOP;SPCS3;NGLY1;DNAJB9;BMPR1B;MAK;HERC3;SRF;HPGD;APPBP2;GUCY1A1;TSC22D1;ARID5B;DBI;UBE2J1;ALDH1A3;B2M;XRCC5;HOMER2;CCND1;KRT8
prerank,IL-6/JAK/STAT3 Signaling,-0.4468917928960907,-2.415794859215493,0.0,0.0,0.0,32/83,16.02%,MYD88;IFNAR1;JUN;IL6ST;SOCS3;TNFRSF1A;PIM1;STAT3;CCR1;IL18R1;IL1B;CD14;IL4R;HMOX1;IL1R1;IL6;PDGFC;IL13RA1;TNFRSF1B;A2M;PIK3R5;EBI3;TLR2;FAS;ITGA4;TNF;PF4;LEPR;IRF1;IL17RA;CSF3R;PTPN11
prerank,Coagulation,-0.44498651126649796,-2.4550850097071457,0.0,0.0,0.0,56/133,13.60%,DUSP6;C1R;DUSP14;PROS1;SERPINE1;C1S;KLKB1;C8A;F8;SERPING1;PLG;C8B;THBS1;MAFF;FYN;TFPI2;CFI;CTSO;THBD;FGA;MBL2;C9;PROZ;FGG;SERPINA1;ACOX2;C3;F9;CTSB;F11;CLU;RGN;CPB2;MST1;HMGCS2;ITIH1;F2;APOA1;PREP;TF;LGMN;APOC3;PROC;ANG;GNG12;A2M;HPN;F12;LRP1;C1QA;CPN1;HRG;P2RY1;F3;PLEK;CFD
prerank,Adipogenesis,-0.43892153017801433,-2.571892311272869,0.0,0.0,0.0,77/195,14.23%,LIFR;ACADS;CD302;ALDH2;PGM1;DBT;ACAA2;SOWAHC;CAT;PLIN2;ECHS1;NKIRAS1;EPHX2;CMPK1;CPT2;ACADM;SCP2;HIBCH;PIM3;GPHN;ORM1;SDHB;PEMT;ABCA1;PRDX3;FAH;QDPR;TANK;GRPEL1;STOM;GHITM;ACOX1;BCL2L13;MTARC2;RNF11;SORBS1;ITSN1;CRAT;C3;GADD45A;PHYH;HADH;ADIPOR2;SULT1A1;MCCC1;RMDN3;CMBL;PPP1R15B;RETSAT;PEX14;ACADL;MGLL;MTCH2;G3BP2;MYLK;ECH1;GBE1;COQ9;DECR1;AK2;ARAF;SOD1;REEP6;APLP2;JAGN1;DNAJC15;REEP5;DNAJB9;IDH1;RIOK3;NDUFA5;ELOVL6;COQ5;POR;TST;DLD;BCL6
