Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,direction,n_hits
gs_ind_0,Golgi-to-ER Retrograde Transport R-HSA-8856688,18/110,0.004208077867749148,0.056859147379705745,2.212620027434842,12.104689464097175,KIF15;CENPE;KIF5A;KIFC2;BICD1;KIF2C;RAB6B;RACGAP1;KIF20A;KIF23;KIFC1;KIF4A;KIF11;KIF18A;DYNC1I1;KIF21B;KIF18B;PAFAH1B3,up in tumor,18
gs_ind_0,Creatine Metabolism R-HSA-71288,4/9,0.004292957258857414,0.057323605750625464,9.02138455065218,49.17357748132849,SLC6A11;SLC6A7;SLC6A8;CKMT1A,up in tumor,4
gs_ind_0,DNA Methylation R-HSA-5334118,6/20,0.004618491523298388,0.060953347429577566,4.945940357703405,26.597719843539327,H2BC15;H2BC17;H2BC9;UHRF1;H2BC11;H2AX,up in tumor,6
gs_ind_0,Switching Of Origins To A Post-Replicative State R-HSA-69052,15/86,0.0046763898596208185,0.06100807460539804,2.3968469219085486,12.8596322886117,CCNA2;MCM4;MCM7;GMNN;ORC6;UBE2C;UBE2S;CCNE1;MCM6;MCM3;CDT1;MCM8;CCNE2;CDC6;MCM5,up in tumor,15
gs_ind_0,Telomere C-strand (Lagging Strand) Synthesis R-HSA-174417,8/33,0.004788476719206674,0.06176046677613154,3.6797635288767623,19.65561486478959,BLM;DSCC1;CHTF18;POLD1;PRIM2;RFC4;POLA2;FEN1,up in tumor,8
gs_ind_0,Impaired BRCA2 Binding To RAD51 R-HSA-9709570,8/34,0.005813125908064039,0.07413368433317623,3.540729491106592,18.226389536172316,BLM;EXO1;RAD51;BRCA2;RFC4;ARTN;RMI2;BRIP1,up in tumor,8
gs_ind_0,PRC2 Methylates Histones And DNA R-HSA-212300,7/28,0.006830608166390656,0.08527693560595719,3.8495760427698964,19.19530103341874,EZH2;H2BC15;H2BC17;H2BC9;PHF19;H2BC11;H2AX,up in tumor,7
gs_ind_0,Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,12/65,0.006837181621270576,0.08527693560595719,2.581338056064544,12.868950281421457,CCNA2;CDKN2A;H2BC15;UBE2C;H2BC17;H2BC9;CDKN2B;EHMT2;CDKN2C;UBE2S;H2BC11;H2AX,up in tumor,12
gs_ind_0,Neuronal System R-HSA-112316,39/316,0.008685970593653652,0.10715844156300972,1.578486896555173,7.491571627224316,HCN2;GABRR3;KCNC1;KCNN3;ACTN2;CACNB4;KCNH4;GAD1;SLC6A11;LRFN2;KCNN1;HCN3;ADCY6;KCNH6;CHRNB2;CHRNA5;GNAL;GNG4;GABBR2;GPRIN1;KCNJ6;GRIK4;PRKAA2;KCNK9;STX1A;KCNJ5;KCNJ11;GABRQ;SYN3;CHRNB4;UBD;KPNA2;RASGRF2;KCNQ3;MPP3;CACNA1E;CHRNA3;KCNF1;MAPT,up in tumor,39
gs_ind_0,Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,21/145,0.0089221660653182,0.10888880090468984,1.9106080822327507,9.016573242943885,GABRR3;ACTN2;ADCY6;CHRNB2;CHRNA5;GNAL;GNG4;GABBR2;GPRIN1;KCNJ6;GRIK4;PRKAA2;KCNJ5;GABRQ;CHRNB4;UBD;KPNA2;RASGRF2;MPP3;CHRNA3;MAPT,up in tumor,21
gs_ind_0,Transmission Across Chemical Synapses R-HSA-112315,27/201,0.009198235647269336,0.11106380276224145,1.744995153350824,8.181834841232446,GABRR3;ACTN2;CACNB4;SLC6A11;GAD1;ADCY6;CHRNB2;CHRNA5;GNAL;GNG4;GABBR2;GPRIN1;KCNJ6;GRIK4;PRKAA2;STX1A;KCNJ5;GABRQ;SYN3;CHRNB4;UBD;KPNA2;RASGRF2;MPP3;CACNA1E;CHRNA3;MAPT,up in tumor,27
gs_ind_0,Highly Sodium Permeable Postsynaptic Acetylcholine Nicotinic Receptors R-HSA-629587,3/6,0.009516835442585372,0.11251675236806664,11.021224489795918,51.300415348156456,CHRNA3;CHRNB4;CHRNB2,up in tumor,3
gs_ind_0,Signaling By LRP5 Mutants R-HSA-5339717,3/6,0.009516835442585372,0.11251675236806664,11.021224489795918,51.300415348156456,DKK1;DKK4;KREMEN2,up in tumor,3
gs_ind_0,Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,6/23,0.00969615323076056,0.11345498883415708,4.097457462134486,18.99591951796966,H2BC15;H2BC17;H2BC9;ORC6;H2BC11;H2AX,up in tumor,6
gs_ind_0,GABA Receptor Activation R-HSA-977443,9/45,0.01076443322505374,0.1234104213175353,2.8732455992729964,13.020134842518758,GABRR3;GNAL;GNG4;KCNJ5;GABBR2;GABRQ;KCNJ6;UBD;ADCY6,up in tumor,9
gs_ind_0,Oxidative Stress Induced Senescence R-HSA-2559580,13/77,0.010666478235392586,0.1234104213175353,2.3124041612318265,10.499816406400496,E2F2;CDKN2A;CBX2;EZH2;H2BC15;E2F1;H2BC17;H2BC9;CBX8;CDKN2B;CDKN2C;H2BC11;H2AX,up in tumor,13
